,telegram_id,username,is_banned,excluded_from_airdrop
877,336489894,dgsoria,1,0
879,336591664,youpabu,1,0
880,336592220,CarlaUnlimited,1,0
881,336661504,luxiantan35,1,0
882,336722464,,1,0
886,336826347,,1,0
887,336830113,,1,0
888,336879204,,1,0
890,336888853,,1,0
891,336922484,,1,0
892,336958838,,1,0
893,337058515,chenglugua,1,0
894,337071236,,1,0
901,337274550,idlarinaldi,1,0
903,337441969,Phoenix_l3lack,1,0
905,337528016,Emji7,1,0
906,337560780,evelyn1moore,1,0
907,337605182,Joseluizv,1,0
908,337644602,sotaelite,1,0
911,337798539,thanhdais277,1,0
912,337844574,hima107,1,0
913,338023652,,1,0
914,338093679,Micr8be,1,0
915,338114769,renpiefan,1,0
920,338305680,stella8martin,1,0
925,338522372,,1,0
926,338645908,ulibnisss,1,0
927,338694939,jingshaiyan79,1,0
928,338879082,fenicks79,1,0
929,338912407,rurounikens,1,0
933,339078575,qvcgylaprj,1,0
934,339171846,vuonganhnguyet,1,0
935,339261062,,1,0
938,339448252,qwaxsdreaz,1,0
939,339648713,Gabrielgasp,1,0
940,339776328,,1,0
941,339793922,,1,0
944,339986161,ColbertJulia,1,0
946,340095558,korefan80,1,0
951,340386169,youcitui,1,0
953,340453565,,1,0
954,340521405,BELOHNDICHSELBST,1,0
956,340642444,,1,0
957,340674274,nguyenthanhhong,1,0
959,340758196,,1,0
960,340766667,nvbntyertert,1,0
961,340850694,jiazaitang,1,0
965,341156868,baikanshang93,1,0
967,341222095,Naito1998,1,0
970,341430446,Rabpdb0uza,1,0
973,341483528,Mattx92,1,0
976,341869322,piyushagg2511,1,0
977,341945808,peuyenv91,1,0
978,341951073,veberoff,1,0
979,342014203,,1,0
981,342213902,BigBuum95,1,0
982,342279563,andrefonseca23ARIZNICO,1,0
983,342323977,,1,0
984,342438762,,1,0
985,342452022,bahtineee,1,0
986,342492239,,1,0
987,342492935,B0D4t,1,0
988,342585756,chatangcheng3,1,0
990,342661767,,1,0
991,342673839,mister_kortes,1,0
992,342681033,maxiangua7,1,0
994,342946021,echoluccous7692,1,0
995,342990893,Guigzzz,1,0
997,343193571,borenia,1,0
998,343294564,jill3lea,1,0
1000,343389879,,1,0
1002,343448366,mitics,1,0
1003,343493121,,1,0
1004,343604979,BTC_007,1,0
1008,343697855,KrypitalHuong,1,0
1010,343724164,,1,0
1011,343787396,yaoliejiao,1,0
1012,343976999,xaker2191,1,0
1014,343999627,,1,0
1019,344456209,linayou63,1,0
1021,344595580,kujing,1,0
1026,344853134,tonyudo,1,0
1032,345166802,BitcoinBully,1,0
1033,345178215,,1,0
1035,345446446,,1,0
1037,345494660,nguyenvantrong,1,0
1039,345756619,,1,0
1041,345853341,ciaocong,1,0
1042,346014510,IgorKozinov,1,0
1044,346130291,kouxiayou,1,0
1047,346364907,MikeBond,1,0
1048,346387883,,1,0
1052,346603878,,1,0
